Pair1: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=69, inner_diam=63
Pair19: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=61, inner_diam=65
Pair20: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=70, inner_diam=88
Pair21: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=51, inner_diam=103
Pair22: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=70, inner_diam=107
Pair23: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=100, inner_diam=112
Pair24: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=84, inner_diam=61
Pair25: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=59, inner_diam=117
Pair26: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=88, inner_diam=92
Pair27: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=63, inner_diam=112
Pair28: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=63, inner_diam=112
Pair29: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=54, inner_diam=77
Pair30: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=84, inner_diam=109
Pair31: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=99, inner_diam=99
Pair32: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=79, inner_diam=71
Pair33: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=53, inner_diam=108
Pair34: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=63, inner_diam=66
Pair35: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=60, inner_diam=120
Pair36: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=73, inner_diam=73
Pair37: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=57, inner_diam=88
Pair38: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=85, inner_diam=75
Pair39: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=82, inner_diam=115
Pair40: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=93, inner_diam=109
Pair41: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=56, inner_diam=63
Pair42: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=95, inner_diam=49
Pair43: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=83, inner_diam=76
Pair44: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=65, inner_diam=102
Pair45: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=72, inner_diam=98
Pair46: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=50, inner_diam=54
Pair47: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=93, inner_diam=82
Pair48: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=85, inner_diam=86
Pair49: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=53, inner_diam=103
Pair50: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=73, inner_diam=88
Pair51: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=66, inner_diam=67
Pair52: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=91, inner_diam=102
Pair53: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=85, inner_diam=71
Pair54: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=91, inner_diam=79
Pair55: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=95, inner_diam=63
Pair56: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=92, inner_diam=45
Pair57: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=94, inner_diam=42
Pair58: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=93, inner_diam=104
Pair59: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=65, inner_diam=51
Pair60: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=97, inner_diam=57
Pair61: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=61, inner_diam=61
Pair62: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=66, inner_diam=77
Pair63: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=88, inner_diam=120
Pair64: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=67, inner_diam=86
Pair65: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=61, inner_diam=91
Pair66: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=83, inner_diam=108
Pair67: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=69, inner_diam=88
Pair68: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=53, inner_diam=40
Pair69: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=57, inner_diam=105
Pair70: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=97, inner_diam=102
Pair71: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=84, inner_diam=93
Pair72: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=73, inner_diam=52
Pair73: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=63, inner_diam=87
Pair74: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=70, inner_diam=69
Pair75: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=69, inner_diam=74
Pair76: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=68, inner_diam=118
Pair77: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=85, inner_diam=85
Pair78: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=96, inner_diam=81
Pair79: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=98, inner_diam=62
Pair80: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=91, inner_diam=90
Pair81: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=95, inner_diam=113
Pair82: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=74, inner_diam=120
Pair83: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=85, inner_diam=82
Pair84: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=58, inner_diam=77
Pair85: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=98, inner_diam=100
Pair86: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=82, inner_diam=99
Pair87: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=89, inner_diam=86
Pair88: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=100, inner_diam=50
Pair89: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=85, inner_diam=49
Pair90: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=58, inner_diam=112
Pair91: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=98, inner_diam=110
Pair92: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=90, inner_diam=52
Pair93: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=93, inner_diam=119
Pair94: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=85, inner_diam=108
Pair95: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=88, inner_diam=98
Pair96: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=85, inner_diam=82
Pair97: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=76, inner_diam=111
Pair98: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=96, inner_diam=84
Pair99: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=70, inner_diam=94
Pair100: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=86, inner_diam=98
Pair101: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=89, inner_diam=59
Pair102: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=97, inner_diam=83
Pair103: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=86, inner_diam=59
Pair104: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=79, inner_diam=53
Pair105: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=81, inner_diam=65
Pair106: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=91, inner_diam=55
Pair107: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=72, inner_diam=40
Pair108: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=87, inner_diam=89
Pair109: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=56, inner_diam=48
Pair110: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=65, inner_diam=63
Pair111: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=59, inner_diam=87
Pair112: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=57, inner_diam=77
Pair113: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=57, inner_diam=114
Pair114: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=50, inner_diam=92
Pair115: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=76, inner_diam=95
Pair116: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=78, inner_diam=99
Pair117: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=52, inner_diam=75
Pair118: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=54, inner_diam=100
Pair119: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=52, inner_diam=55
Pair120: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=73, inner_diam=109
Pair121: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=86, inner_diam=96
Pair122: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=54, inner_diam=67
Pair123: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=89, inner_diam=66
Pair124: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=98, inner_diam=63
Pair125: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=93, inner_diam=83
Pair126: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=73, inner_diam=118
Pair127: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=90, inner_diam=116
Pair128: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=97, inner_diam=43
Pair129: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=61, inner_diam=109
Pair130: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=94, inner_diam=65
Pair131: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=97, inner_diam=71
Pair132: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=50, inner_diam=118
Pair133: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=89, inner_diam=119
Pair134: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=56, inner_diam=85
Pair135: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=73, inner_diam=71
Pair136: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=62, inner_diam=68
Pair137: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=96, inner_diam=96
Pair138: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=66, inner_diam=44
Pair139: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=57, inner_diam=65
Pair140: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=98, inner_diam=114
Pair141: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=54, inner_diam=76
Pair142: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=58, inner_diam=40
Pair143: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=82, inner_diam=67
Pair144: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=90, inner_diam=62
Pair145: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=69, inner_diam=102
Pair146: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=92, inner_diam=67
Pair147: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=88, inner_diam=91
Pair148: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=81, inner_diam=82
Pair149: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=79, inner_diam=47
Pair150: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=56, inner_diam=54
Pair151: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=75, inner_diam=40
Pair152: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=56, inner_diam=91
Pair153: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=64, inner_diam=113
Pair154: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=63, inner_diam=51
Pair155: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=89, inner_diam=95
Pair156: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=72, inner_diam=115
Pair157: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=81, inner_diam=54
Pair158: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=87, inner_diam=97
Pair159: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=100, inner_diam=62
Pair160: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=74, inner_diam=82
Pair161: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=53, inner_diam=115
Pair162: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=59, inner_diam=57
Pair163: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=97, inner_diam=96
Pair164: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=99, inner_diam=83
Pair165: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=62, inner_diam=60
Pair166: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=69, inner_diam=108
Pair167: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=80, inner_diam=62
Pair168: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=53, inner_diam=61
Pair169: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=84, inner_diam=69
Pair170: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=66, inner_diam=104
Pair171: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=91, inner_diam=41
Pair172: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=59, inner_diam=71
Pair173: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=51, inner_diam=75
Pair174: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=54, inner_diam=111
Pair175: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=51, inner_diam=41
Pair176: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=97, inner_diam=115
Pair177: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=92, inner_diam=41
Pair178: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=65, inner_diam=106
Pair179: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=96, inner_diam=62
Pair180: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=65, inner_diam=57
Pair181: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=52, inner_diam=69
Pair182: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=78, inner_diam=41
Pair183: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=93, inner_diam=78
Pair184: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=92, inner_diam=108
Pair185: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=89, inner_diam=49
Pair186: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=57, inner_diam=74
Pair187: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=89, inner_diam=83
Pair188: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=56, inner_diam=43
Pair189: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=57, inner_diam=80
Pair190: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=51, inner_diam=64
Pair191: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=97, inner_diam=71
Pair192: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=97, inner_diam=61
Pair193: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=75, inner_diam=60
Pair194: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=71, inner_diam=84
Pair195: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=98, inner_diam=49
Pair196: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=68, inner_diam=55
Pair197: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=90, inner_diam=65
Pair198: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=51, inner_diam=57
Pair199: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=92, inner_diam=64
Pair200: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=71, inner_diam=84
Pair201: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=70, inner_diam=84
Pair202: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=91, inner_diam=87
Pair203: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=59, inner_diam=107
Pair204: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=53, inner_diam=93
Pair205: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=86, inner_diam=94
Pair206: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=59, inner_diam=42
Pair207: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=72, inner_diam=85
Pair208: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=60, inner_diam=44
Pair209: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=56, inner_diam=63
Pair210: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=57, inner_diam=70
Pair211: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=60, inner_diam=95
Pair212: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=50, inner_diam=65
Pair213: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=55, inner_diam=94
Pair214: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=80, inner_diam=110
Pair215: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=75, inner_diam=97
Pair216: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=60, inner_diam=51
Pair217: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=67, inner_diam=66
Pair218: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=90, inner_diam=51
Pair219: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=65, inner_diam=57
Pair220: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=79, inner_diam=83
Pair221: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=76, inner_diam=79
Pair222: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=83, inner_diam=42
Pair223: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=80, inner_diam=55
Pair224: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=4, center_gap=55, inner_diam=77
Pair225: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=63, inner_diam=68
Pair226: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=52, inner_diam=108
Pair227: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=57, inner_diam=57
Pair228: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=7, center_gap=68, inner_diam=108
Pair229: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=58, inner_diam=86
Pair230: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=6, center_gap=99, inner_diam=64
Pair231: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=5, center_gap=59, inner_diam=47
Pair232: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=96, inner_diam=96
Pair233: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=87, inner_diam=94
Pair234: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=84, inner_diam=40
Pair235: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=56, inner_diam=73
Pair236: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=67, inner_diam=84
Pair237: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=94, inner_diam=63
Pair238: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=85, inner_diam=92
Pair239: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=84, inner_diam=72
Pair240: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=50, inner_diam=62
Pair241: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=68, inner_diam=118
Pair242: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=4, center_gap=56, inner_diam=68
Pair243: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=71, inner_diam=86
Pair244: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=91, inner_diam=96
Pair245: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=58, inner_diam=88
Pair246: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=100, inner_diam=116
Pair247: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=54, inner_diam=89
Pair248: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=60, inner_diam=48
Pair249: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=98, inner_diam=99
Pair250: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=4, center_gap=85, inner_diam=60
Pair251: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=50, inner_diam=62
Pair252: turns_top=2, turns_bot=1, linewidth_top=6, linewidth_bot=7, center_gap=57, inner_diam=64
Pair253: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=80, inner_diam=73
Pair254: turns_top=3, turns_bot=1, linewidth_top=6, linewidth_bot=8, center_gap=81, inner_diam=103
Pair255: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=7, center_gap=63, inner_diam=75
Pair256: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=5, center_gap=72, inner_diam=87
Pair257: turns_top=2, turns_bot=1, linewidth_top=8, linewidth_bot=5, center_gap=61, inner_diam=70
Pair258: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=63, inner_diam=44
